Author,Text,Section,Total Words,IncludedInTotal,AccWorkspace
Josephus,Josephus Greek,Antiq.,306488,True,Text Sizes
Josephus,Josephus Greek,War,125595,True,Text Sizes
Josephus,Josephus Greek,Life,15836,True,Text Sizes
Josephus,Josephus Greek,Apion,20586,True,Text Sizes
Josephus,Josephus Greek,__ALL__,468505,False,Text Sizes
Various,LXX Rahlfs Tagged,Genesis,32572,True,Text Sizes
Various,LXX Rahlfs Tagged,Exodus,24818,True,Text Sizes
Various,LXX Rahlfs Tagged,Leviticus,19085,True,Text Sizes
Various,LXX Rahlfs Tagged,Numbers,25059,True,Text Sizes
Various,LXX Rahlfs Tagged,Deuteronomy,22996,True,Text Sizes
Various,LXX Rahlfs Tagged,Joshua,14896,True,Text Sizes
Various,LXX Rahlfs Tagged,Judges,15947,True,Text Sizes
Various,LXX Rahlfs Tagged,Ruth,2075,True,Text Sizes
Various,LXX Rahlfs Tagged,1Samuel,20138,True,Text Sizes
Various,LXX Rahlfs Tagged,2Samuel,17929,True,Text Sizes
Various,LXX Rahlfs Tagged,1Kings,20810,True,Text Sizes
Various,LXX Rahlfs Tagged,2Kings,18854,True,Text Sizes
Various,LXX Rahlfs Tagged,1Chronicles,16246,True,Text Sizes
Various,LXX Rahlfs Tagged,2Chronicles,21355,True,Text Sizes
Various,LXX Rahlfs Tagged,1Esdras,8996,True,Text Sizes
Various,LXX Rahlfs Tagged,Ezra,5586,True,Text Sizes
Various,LXX Rahlfs Tagged,Nehemiah,7676,True,Text Sizes
Various,LXX Rahlfs Tagged,Esther,5847,True,Text Sizes
Various,LXX Rahlfs Tagged,Judith,9175,True,Text Sizes
Various,LXX Rahlfs Tagged,Tobit,5506,True,Text Sizes
Various,LXX Rahlfs Tagged,1Maccabees,18295,True,Text Sizes
Various,LXX Rahlfs Tagged,2Maccabees,11921,True,Text Sizes
Various,LXX Rahlfs Tagged,3Maccabees,5111,True,Text Sizes
Various,LXX Rahlfs Tagged,4Maccabees,7869,True,Text Sizes
Various,LXX Rahlfs Tagged,Psalms,34967,True,Text Sizes
Various,LXX Rahlfs Tagged,Odes,4191,True,Text Sizes
Various,LXX Rahlfs Tagged,Proverbs,11166,True,Text Sizes
Various,LXX Rahlfs Tagged,Ecclesiastes,4546,True,Text Sizes
Various,LXX Rahlfs Tagged,Song,2026,True,Text Sizes
Various,LXX Rahlfs Tagged,Job,13568,True,Text Sizes
Various,LXX Rahlfs Tagged,Wisdom,6949,True,Text Sizes
Various,LXX Rahlfs Tagged,Sirach,18668,True,Text Sizes
Various,LXX Rahlfs Tagged,Solomon,4926,True,Text Sizes
Various,LXX Rahlfs Tagged,Hosea,3936,True,Text Sizes
Various,LXX Rahlfs Tagged,Amos,3210,True,Text Sizes
Various,LXX Rahlfs Tagged,Micah,2368,True,Text Sizes
Various,LXX Rahlfs Tagged,Joel,1580,True,Text Sizes
Various,LXX Rahlfs Tagged,Obadiah,472,True,Text Sizes
Various,LXX Rahlfs Tagged,Jonah,1090,True,Text Sizes
Various,LXX Rahlfs Tagged,Nahum,937,True,Text Sizes
Various,LXX Rahlfs Tagged,Habakkuk,1105,True,Text Sizes
Various,LXX Rahlfs Tagged,Zephaniah,1223,True,Text Sizes
Various,LXX Rahlfs Tagged,Haggai,947,True,Text Sizes
Various,LXX Rahlfs Tagged,Zechariah,4965,True,Text Sizes
Various,LXX Rahlfs Tagged,Malachi,1417,True,Text Sizes
Various,LXX Rahlfs Tagged,Isaiah,27087,True,Text Sizes
Various,LXX Rahlfs Tagged,Jeremiah,28950,True,Text Sizes
Various,LXX Rahlfs Tagged,Baruch,2608,True,Text Sizes
Various,LXX Rahlfs Tagged,Lamentations,2391,True,Text Sizes
Various,LXX Rahlfs Tagged,Letterjeremiah,1285,True,Text Sizes
Various,LXX Rahlfs Tagged,Ezekiel,29662,True,Text Sizes
Various,LXX Rahlfs Tagged,Daniel,10782,True,Text Sizes
Various,LXX Rahlfs Tagged,Susanna,792,True,Text Sizes
Various,LXX Rahlfs Tagged,Bel,901,True,Text Sizes
Various,LXX Rahlfs Tagged,__ALL__,587477,False,Text Sizes
Basil the Great,Basil Greek,Spir.,25899,True,Text Sizes
Basil the Great,Basil Greek,__ALL__,25899,False,Text Sizes
Athanasius,Athanasius Greek,Incar.,19859,True,Text Sizes
Athanasius,Athanasius Greek,Gentes,18027,True,Text Sizes
Athanasius,Athanasius Greek,Arians,87870,True,Text Sizes
Athanasius,Athanasius Greek,Serap.,20153,True,Text Sizes
Athanasius,Athanasius Greek,BSerap.,935,True,Text Sizes
Athanasius,Athanasius Greek,__ALL__,146844,False,Text Sizes
Philo,Philo Greek,Opif,13342,True,Text Sizes
Philo,Philo Greek,Legum,31666,True,Text Sizes
Philo,Philo Greek,Cher,7569,True,Text Sizes
Philo,Philo Greek,Sacr,9476,True,Text Sizes
Philo,Philo Greek,Det,11214,True,Text Sizes
Philo,Philo Greek,Post,10978,True,Text Sizes
Philo,Philo Greek,Gig,3255,True,Text Sizes
Philo,Philo Greek,Deus,8932,True,Text Sizes
Philo,Philo Greek,Agr,9013,True,Text Sizes
Philo,Philo Greek,Plant,8888,True,Text Sizes
Philo,Philo Greek,Ebr,11535,True,Text Sizes
Philo,Philo Greek,Sobr,3579,True,Text Sizes
Philo,Philo Greek,Conf,10274,True,Text Sizes
Philo,Philo Greek,Migr,12471,True,Text Sizes
Philo,Philo Greek,Her,15701,True,Text Sizes
Philo,Philo Greek,Congr,8839,True,Text Sizes
Philo,Philo Greek,Fug,10883,True,Text Sizes
Philo,Philo Greek,Mut,13023,True,Text Sizes
Philo,Philo Greek,Somn,25846,True,Text Sizes
Philo,Philo Greek,Abr,13310,True,Text Sizes
Philo,Philo Greek,Ios,12846,True,Text Sizes
Philo,Philo Greek,Moys,31452,True,Text Sizes
Philo,Philo Greek,Decal,8459,True,Text Sizes
Philo,Philo Greek,Spec,56900,True,Text Sizes
Philo,Philo Greek,Virt,12202,True,Text Sizes
Philo,Philo Greek,Praem,9099,True,Text Sizes
Philo,Philo Greek,Prob,7639,True,Text Sizes
Philo,Philo Greek,Contempl,4604,True,Text Sizes
Philo,Philo Greek,Aet,9220,True,Text Sizes
Philo,Philo Greek,Flacc,8931,True,Text Sizes
Philo,Philo Greek,Legat,17519,True,Text Sizes
Philo,Philo Greek,Hypoth,2349,True,Text Sizes
Philo,Philo Greek,Prov,4225,True,Text Sizes
Philo,Philo Greek,1QGen,8252,True,Text Sizes
Philo,Philo Greek,2QGen,637,True,Text Sizes
Philo,Philo Greek,3QGen,1090,True,Text Sizes
Philo,Philo Greek,1QEx,2239,True,Text Sizes
Philo,Philo Greek,2QEx,1151,True,Text Sizes
Philo,Philo Greek,__ALL__,438608,False,Text Sizes
Various,NA28 GNT,Matthew,18365,True,Text Sizes
Various,NA28 GNT,Mark,11314,True,Text Sizes
Various,NA28 GNT,Luke,19497,True,Text Sizes
Various,NA28 GNT,John,15673,True,Text Sizes
Various,NA28 GNT,Acts,18472,True,Text Sizes
Various,NA28 GNT,1 Acts,10063,False,Text Sizes
Various,NA28 GNT,2 Acts,8409,False,Text Sizes
Various,NA28 GNT,Romans,7116,True,Text Sizes
Various,NA28 GNT,1Corinthians,6843,True,Text Sizes
Various,NA28 GNT,2Corinthians,4491,True,Text Sizes
Various,NA28 GNT,Galatians,2235,True,Text Sizes
Various,NA28 GNT,Ephesians,2425,True,Text Sizes
Various,NA28 GNT,Philippians,1633,True,Text Sizes
Various,NA28 GNT,Colossians,1583,True,Text Sizes
