Author,Text,Connective,Section,Total,AccWorkspace
Josephus,Josephus Greek,τε,Antiq.,3074,Buth Jos
Josephus,Josephus Greek,τε,War,1343,Buth Jos
Josephus,Josephus Greek,τε,Life,94,Buth Jos
Josephus,Josephus Greek,τε,Apion,94,Buth Jos
Josephus,Josephus Greek,μέν,Antiq.,3160,Buth Jos
Josephus,Josephus Greek,μέν,War,1952,Buth Jos
Josephus,Josephus Greek,μέν,Life,136,Buth Jos
Josephus,Josephus Greek,μέν,Apion,247,Buth Jos
Josephus,Josephus Greek,οὖν,Antiq.,683,Buth Jos
Josephus,Josephus Greek,οὖν,War,263,Buth Jos
Josephus,Josephus Greek,οὖν,Life,70,Buth Jos
Josephus,Josephus Greek,οὖν,Apion,64,Buth Jos
Josephus,Josephus Greek,ὥστε,Antiq.,238,Buth Jos
Josephus,Josephus Greek,ὥστε,War,82,Buth Jos
Josephus,Josephus Greek,ὥστε,Life,4,Buth Jos
Josephus,Josephus Greek,ὥστε,Apion,10,Buth Jos
Josephus,Josephus Greek,γέ,Antiq.,235,Buth Jos
Josephus,Josephus Greek,γέ,War,237,Buth Jos
Josephus,Josephus Greek,γέ,Life,3,Buth Jos
Josephus,Josephus Greek,γέ,Apion,30,Buth Jos
Josephus,Josephus Greek,γάρ,Antiq.,2240,Buth Jos
Josephus,Josephus Greek,γάρ,War,1066,Buth Jos
Josephus,Josephus Greek,γάρ,Life,151,Buth Jos
Josephus,Josephus Greek,γάρ,Apion,221,Buth Jos
Josephus,Josephus Greek,ἀλλά,Antiq.,1061,Buth Jos
Josephus,Josephus Greek,ἀλλά,War,408,Buth Jos
Josephus,Josephus Greek,ἀλλά,Life,40,Buth Jos
Josephus,Josephus Greek,ἀλλά,Apion,140,Buth Jos
Josephus,Josephus Greek,μᾶλλον,Antiq.,243,Buth Jos
Josephus,Josephus Greek,μᾶλλον,War,72,Buth Jos
Josephus,Josephus Greek,μᾶλλον,Life,8,Buth Jos
Josephus,Josephus Greek,μᾶλλον,Apion,11,Buth Jos
Josephus,Josephus Greek,πλὴν,Antiq.,33,Buth Jos
Josephus,Josephus Greek,πλὴν,War,34,Buth Jos
Josephus,Josephus Greek,πλὴν,Life,3,Buth Jos
Josephus,Josephus Greek,πλὴν,Apion,5,Buth Jos
Josephus,Josephus Greek,καί,Antiq.,18128,Buth Jos
Josephus,Josephus Greek,καί,War,6593,Buth Jos
Josephus,Josephus Greek,καί,Life,689,Buth Jos
Josephus,Josephus Greek,καί,Apion,1090,Buth Jos
Josephus,Josephus Greek,δέ,Antiq.,9888,Buth Jos
Josephus,Josephus Greek,δέ,War,4788,Buth Jos
Josephus,Josephus Greek,δέ,Life,547,Buth Jos
Josephus,Josephus Greek,δέ,Apion,591,Buth Jos
Various,LXX Rahlfs Tagged,τε,Genesis,16,Buth LXX
Various,LXX Rahlfs Tagged,τε,Exodus,21,Buth LXX
Various,LXX Rahlfs Tagged,τε,Leviticus,10,Buth LXX
Various,LXX Rahlfs Tagged,τε,Numbers,3,Buth LXX
Various,LXX Rahlfs Tagged,τε,Deuteronomy,6,Buth LXX
Various,LXX Rahlfs Tagged,τε,Joshua,1,Buth LXX
Various,LXX Rahlfs Tagged,τε,Judges,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Ruth,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,1Samuel,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,2Samuel,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,1Kings,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,2Kings,1,Buth LXX
Various,LXX Rahlfs Tagged,τε,1Chronicles,1,Buth LXX
Various,LXX Rahlfs Tagged,τε,2Chronicles,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,1Esdras,18,Buth LXX
Various,LXX Rahlfs Tagged,τε,Ezra,4,Buth LXX
Various,LXX Rahlfs Tagged,τε,Nehemiah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Esther,16,Buth LXX
Various,LXX Rahlfs Tagged,τε,Judith,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Tobit,1,Buth LXX
Various,LXX Rahlfs Tagged,τε,1Maccabees,4,Buth LXX
Various,LXX Rahlfs Tagged,τε,2Maccabees,25,Buth LXX
Various,LXX Rahlfs Tagged,τε,3Maccabees,32,Buth LXX
Various,LXX Rahlfs Tagged,τε,4Maccabees,27,Buth LXX
Various,LXX Rahlfs Tagged,τε,Psalms,2,Buth LXX
Various,LXX Rahlfs Tagged,τε,Odes,1,Buth LXX
Various,LXX Rahlfs Tagged,τε,Proverbs,13,Buth LXX
Various,LXX Rahlfs Tagged,τε,Ecclesiastes,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Song,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Job,19,Buth LXX
Various,LXX Rahlfs Tagged,τε,Wisdom,25,Buth LXX
Various,LXX Rahlfs Tagged,τε,Sirach,4,Buth LXX
Various,LXX Rahlfs Tagged,τε,Solomon,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Hosea,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Amos,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Micah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Joel,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Obadiah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Jonah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Nahum,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Habakkuk,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Zephaniah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Haggai,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Zechariah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Malachi,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Isaiah,1,Buth LXX
Various,LXX Rahlfs Tagged,τε,Jeremiah,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Baruch,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Lamentations,0,Buth LXX
Various,LXX Rahlfs Tagged,τε,Letterjeremiah,14,Buth LXX
Various,LXX Rahlfs Tagged,τε,Ezekiel,1,Buth LXX
